"id:ID","type:LABEL","name","entity_type","report_index","document_id","annotated_items_count","total_triplets","category"
"entity_therapy_45","MedicalEntity","therapy","Medical Concept","","","","",""
"entity_therapy_46","MedicalEntity","therapy","Medical Concept","","","","",""
"entity_warfarin__asa__aldactone__bisoprolol__lansoprazole_47","MedicalEntity","warfarin, ASA, aldactone, bisoprolol, lansoprazole, pregabalin, Micardis plus","Vital Sign","","","","",""
"feature_diffuse_vascular_disease","MedicalFeature","diffuse vascular disease","","","","","","Disease"
"entity_arterial_hypertension_48","MedicalEntity","Arterial hypertension","Disease","","","","",""
"entity_vascular_disease_49","MedicalEntity","vascular disease","Entity","","","","",""
"entity_micardis_plus_50","MedicalEntity","Micardis plus","Entity","","","","",""
"entity_therapy_51","MedicalEntity","therapy","Medical Concept","","","","",""
"entity_arterial_hypertension_52","MedicalEntity","Arterial hypertension","Disease","","","","",""
"entity_condition_53","MedicalEntity","condition","Entity","","","","",""
"report_4","MedicalReport","","","4","","0","0",""
"entity_adenocarcinoma_of_the_rectum_54","MedicalEntity","adenocarcinoma of the rectum","Diagnostic Procedure","","","","",""
"entity_folfox_chemotherapy_55","MedicalEntity","FOLFOX chemotherapy","Entity","","","","",""
"entity_dabigatran_56","MedicalEntity","dabigatran","Entity","","","","",""
"entity_af_57","MedicalEntity","AF","Entity","","","","",""
"entity_losartan_58","MedicalEntity","losartan","Entity","","","","",""
"entity_hypertension_59","MedicalEntity","hypertension","Disease","","","","",""
"entity_losartan_60","MedicalEntity","losartan","Entity","","","","",""
"entity_hypertension_61","MedicalEntity","hypertension","Disease","","","","",""
"entity_cad_62","MedicalEntity","CAD","Disease","","","","",""
"entity_coronary_angiography_63","MedicalEntity","coronary angiography","Entity","","","","",""
"entity_hr_64","MedicalEntity","HR","Vital Sign","","","","",""
"entity_89_65","MedicalEntity","89","Entity","","","","",""
"entity_bp_66","MedicalEntity","BP","Vital Sign","","","","",""
"entity_160_90_mmhg_67","MedicalEntity","160/90 mmHg","Entity","","","","",""
"entity_so2_68","MedicalEntity","SO2","Entity","","","","",""
"entity_96__69","MedicalEntity","96%","Vital Sign","","","","",""
"feature_presence_of_dyspnea","MedicalFeature","presence of dyspnea","","","","","","General"
"entity_dyspnea_70","MedicalEntity","dyspnea","Entity","","","","",""
"entity_exertion_71","MedicalEntity","exertion","Entity","","","","",""
"feature_ecg__any_abnormality","MedicalFeature","ecg, any abnormality","","","","","","General"
"entity_af_72","MedicalEntity","AF","Entity","","","","",""
"entity_cardiological_evaluation_73","MedicalEntity","cardiological evaluation","Entity","","","","",""
"feature_creatinine","MedicalFeature","creatinine","","","","","","General"
"entity_creat_74","MedicalEntity","creat","Entity","","","","",""
"entity_1_6_mg_dl_75","MedicalEntity","1.6 mg/dl","Dosage","","","","",""
"feature_cardiac_ultrasound__any_abnormality","MedicalFeature","cardiac ultrasound, any abnormality","","","","","","General"
"entity_pericardial_effusion_76","MedicalEntity","pericardial effusion","Entity","","","","",""
"entity_echocardiogram_77","MedicalEntity","echocardiogram","Entity","","","","",""
"report_5","MedicalReport","","","5","","0","0",""
"report_6","MedicalReport","","","6","","0","0",""
"report_7","MedicalReport","","","7","","0","0",""
"entity_patient_78","MedicalEntity","patient","Medical Concept","","","","",""
"entity_alert_79","MedicalEntity","alert","Entity","","","","",""
"entity_patient_80","MedicalEntity","patient","Medical Concept","","","","",""
"entity_oriented_81","MedicalEntity","oriented","Entity","","","","",""
"feature_body_temperature","MedicalFeature","body temperature","","","","","","General"
"entity_patient_82","MedicalEntity","patient","Medical Concept","","","","",""
"entity_no_fever_83","MedicalEntity","no fever","Entity","","","","",""
"entity_hr_84","MedicalEntity","HR","Vital Sign","","","","",""
"entity_64_85","MedicalEntity","64","Entity","","","","",""
"entity_bp_86","MedicalEntity","BP","Vital Sign","","","","",""
"entity_131_84_87","MedicalEntity","131/84","Entity","","","","",""
"entity_spo2_88","MedicalEntity","SpO2","Vital Sign","","","","",""
"entity_97__89","MedicalEntity","97%","Vital Sign","","","","",""
"report_8","MedicalReport","","","8","","0","0",""
"entity_alert_90","MedicalEntity","Alert","Entity","","","","",""
"entity_oriented_91","MedicalEntity","oriented","Entity","","","","",""
"entity_rf_92","MedicalEntity","RF","Vital Sign","","","","",""
"entity_18_apm_93","MedicalEntity","18 apm","Vital Sign","","","","",""
"entity_temp_94","MedicalEntity","Temp","Entity","","","","",""
"entity_36_8_95","MedicalEntity","36.8","Entity","","","","",""
"entity_hr_96","MedicalEntity","HR","Vital Sign","","","","",""
"entity_78r_bpm_97","MedicalEntity","78r bpm","Vital Sign","","","","",""
"entity_bp_98","MedicalEntity","BP","Vital Sign","","","","",""
"entity_150_80_mmhg_99","MedicalEntity","150/80 mmHg","Entity","","","","",""
"entity_spo2_100","MedicalEntity","SpO2","Vital Sign","","","","",""
"entity_96__101","MedicalEntity","96%","Vital Sign","","","","",""
"report_9","MedicalReport","","","9","","0","0",""
"entity_patient_102","MedicalEntity","Patient","Medical Concept","","","","",""
"entity_time_place_103","MedicalEntity","time/place","Entity","","","","",""
"entity_body_temperature_104","MedicalEntity","Body Temperature","Entity","","","","",""
"entity_37_5_c_105","MedicalEntity","37.5°C","Entity","","","","",""
"entity_heart_rate_106","MedicalEntity","Heart Rate","Entity","","","","",""
"entity_tachycardic_107","MedicalEntity","tachycardic","Entity","","","","",""
"entity_blood_pressure_108","MedicalEntity","Blood Pressure","Entity","","","","",""
"entity_130_90_mmhg_109","MedicalEntity","130/90 mmHg","Entity","","","","",""
"entity_spo2_110","MedicalEntity","SpO2","Vital Sign","","","","",""
"entity_97__111","MedicalEntity","97%","Vital Sign","","","","",""
